year,marathon,country,finishers,meantime
2011,1/2 Sauer 1/2 Kraut Marathon,US,356,265.15384
2013,1/2 Sauer 1/2 Kraut Marathon,US,224,276.5625
2010,1/2 Sauer 1/2 Kraut Marathon,US,171,284.59689
2012,1/2 Sauer 1/2 Kraut Marathon,US,141,270.89386
2011,11-11-11 Marathon of Sarasota,US,66,301.16187
2011,26.2 with Donna: The National Marathon to Finish Breast Cancer,US,1897,294.94003
2012,26.2 with Donna: The National Marathon to Finish Breast Cancer,US,1781,293.62137
2008,26.2 with Donna: The National Marathon to Finish Breast Cancer,US,1675,308.89877
2010,26.2 with Donna: The National Marathon to Finish Breast Cancer,US,1675,295.52664
2013,26.2 with Donna: The National Marathon to Finish Breast Cancer,US,1535,287.92691
2009,26.2 with Donna: The National Marathon to Finish Breast Cancer,US,1243,291.38855
2013,3 Bridges Marathon,US,365,296.0195
2013,A Run Through Time,US,163,293.96646
2012,A Run Through Time,US,140,301.19547
2011,A Run Through Time,US,127,301.84528
2010,A Run Through Time,US,108,314.49829
2007,A Run Through Time,US,91,299.80878
2009,A Run Through Time,US,82,299.1683
2008,A Run Through Time,US,81,331.59875
2006,A Run Through Time,US,58,304.88217
2011,A2A Arbuckles to Ardmore Race for Mercy,US,274,285.47153
2012,A2A Arbuckles to Ardmore Race for Mercy,US,139,305.86368
2010,A2A Arbuckles to Ardmore Race for Mercy,US,128,254.68997
2013,A2A Arbuckles to Ardmore Race for Mercy,US,89,270.52078
2013,Abebe Bikila Day International Peace Marathon,US,86,258.53003
2002,Achilles Marathon,US,48,291.88263
2013,Adirondack Marathon,US,343,273.33789
2010,Adirondack Marathon,US,325,262.36026
2001,Adirondack Marathon,US,282,256.69055
2011,Adirondack Marathon,US,276,270.11871
2002,Adirondack Marathon,US,257,252.44572
2012,Adirondack Marathon,US,239,264.92371
2009,Adirondack Marathon,US,226,264.60538
2008,Adirondack Marathon,US,212,258.21115
2006,Adirondack Marathon,US,208,271.06891
2005,Adirondack Marathon,US,206,257.45081
2003,Adirondack Marathon,US,201,253.42281
2007,Adirondack Marathon,US,191,252.06056
2004,Adirondack Marathon,US,150,254.31134
2012,Air Force Marathon,US,3298,286.22278
2013,Air Force Marathon,US,3126,286.34006
2011,Air Force Marathon,US,2518,280.01627
2010,Air Force Marathon,US,2417,280.97525
2009,Air Force Marathon,US,2017,271.69159
2008,Air Force Marathon,US,1798,276.39377
2007,Air Force Marathon,US,1652,267.88705
2002,Air Force Marathon,US,1407,276.98282
2006,Air Force Marathon,US,1378,278.59113
2000,Air Force Marathon,US,1310,270.31088
2003,Air Force Marathon,US,1265,274.05374
2005,Air Force Marathon,US,1216,278.83017
2004,Air Force Marathon,US,1184,273.93661
2012,Akron Marathon,US,1628,264.02618
2013,Akron Marathon,US,1617,264.8812
2008,Akron Marathon,US,1582,261.76566
2010,Akron Marathon,US,1519,258.65936
2009,Akron Marathon,US,1427,261.72733
2011,Akron Marathon,US,1390,260.10559
2007,Akron Marathon,US,1165,251.47569
2006,Akron Marathon,US,1038,260.17828
2003,Akron Marathon,US,855,260.75754
2005,Akron Marathon,US,767,254.20844
2004,Akron Marathon,US,743,257.80286
2006,Alice Springs Marathon,Bermuda,37,241.90315
2013,Alice Springs Marathon,Bermuda,34,252.37303
2010,Alice Springs Marathon,Bermuda,32,244.85417
2012,Alice Springs Marathon,Bermuda,28,242.6006
2011,Alice Springs Marathon,Bermuda,25,248.42999
2011,Almond Bowl Marathon,US,48,261.91147
2013,Almond Bowl Marathon,US,37,271.38019
2012,Almond Bowl Marathon,US,30,271.97333
2007,Alpharetta Marathon,US,274,278.94879
2008,Alpharetta Marathon,US,106,258.65439
2012,American Birkebeiner Trail Run,US,117,290.50742
2013,American Birkebeiner Trail Run,US,109,269.84479
2011,American Birkebeiner Trail Run,US,81,281.64075
2010,American Birkebeiner Trail Run,US,73,270.55344
2011,American Discovery Trail Marathon,US,840,264.25784
2013,American Discovery Trail Marathon,US,440,267.69397
2012,American Discovery Trail Marathon,US,399,271.50726
2010,American Discovery Trail Marathon,US,377,273.14063
2009,American Discovery Trail Marathon,US,367,276.22821
2002,American Discovery Trail Marathon,US,279,274.60938
2003,American Discovery Trail Marathon,US,277,265.79904
2008,American Discovery Trail Marathon,US,251,282.11447
2001,American Discovery Trail Marathon,US,245,265.63803
2005,American Discovery Trail Marathon,US,205,276.12985
2006,American Discovery Trail Marathon,US,187,268.94357
2004,American Discovery Trail Marathon,US,183,269.02341
2007,American Discovery Trail Marathon,US,171,275.60028
2013,Amsterdam Marathon,Netherlands,11291,241.55136
2012,Amsterdam Marathon,Netherlands,10142,236.54552
2011,Amsterdam Marathon,Netherlands,9637,235.6438
2010,Amsterdam Marathon,Netherlands,7880,234.78882
2009,Amsterdam Marathon,Netherlands,6910,235.19553
2007,Amsterdam Marathon,Netherlands,6530,235.31044
2008,Amsterdam Marathon,Netherlands,5983,238.95895
2006,Amsterdam Marathon,Netherlands,5856,231.1174
2005,Amsterdam Marathon,Netherlands,5336,235.03372
2004,Amsterdam Marathon,Netherlands,4498,231.30774
2003,Amsterdam Marathon,Netherlands,3510,232.28131
2012,Andrew Jackson Marathon,US,151,279.27008
2011,Andrew Jackson Marathon,US,117,288.92477
2013,Andrew Jackson Marathon,US,96,249.2132
2008,Andrew Jackson Marathon,US,88,264.72897
2010,Andrew Jackson Marathon,US,88,261.71384
2006,Andrew Jackson Marathon,US,67,258.84079
2001,Andrew Jackson Marathon,US,64,262.66327
2009,Andrew Jackson Marathon,US,64,250.97865
2007,Andrew Jackson Marathon,US,62,266.83118
2005,Andrew Jackson Marathon,US,38,251.93289
2003,Andrew Jackson Marathon,US,36,239.74399
2009,Andy Payne Marathon,US,122,278.37253
2001,Andy Payne Marathon,US,90,263.39908
2008,Andy Payne Marathon,US,79,284.97934
2010,Andy Payne Marathon,US,79,282.68228
2012,Andy Payne Marathon,US,71,279.22253
2011,Andy Payne Marathon,US,69,294.37344
2007,Andy Payne Marathon,US,64,267.23282
2003,Andy Payne Marathon,US,51,254.67778
2002,Andy Payne Marathon,US,48,249.11424
2004,Andy Payne Marathon,US,47,281.59186
2006,Andy Payne Marathon,US,46,288.46088
2005,Andy Payne Marathon,US,41,263.19147
2012,Ann Arbor Marathon,US,580,269.09158
2013,Ann Arbor Marathon,US,402,260.66769
2004,Arizona Marathon,US,9637,290.11661
2006,Arizona Marathon,US,7428,282.59201
2005,Arizona Marathon,US,7157,286.29419
2007,Arizona Marathon,US,6729,272.28772
2009,Arizona Marathon,US,6549,274.10547
2008,Arizona Marathon,US,6499,275.28003
2010,Arizona Marathon,US,5741,268.58295
2011,Arizona Marathon,US,5118,270.71927
2012,Arizona Marathon,US,4194,267.98358
2013,Arizona Marathon,US,3529,270.37
2001,Arkansas Marathon,US,100,261.38733
2002,Arkansas Marathon,US,75,265.62576
2008,Arkansas Marathon,US,41,286.95285
2006,Arkansas Marathon,US,38,279.69693
2010,Arkansas Marathon,US,38,271.10175
2007,Arkansas Marathon,US,37,272.02432
2005,Arkansas Marathon,US,32,280.45572
2009,Arkansas Marathon,US,31,288.17957
2003,Arkansas Marathon,US,28,278.76846
2011,Arkansas Marathon,US,23,269.62753
2004,Arkansas Marathon,US,21,254.91826
2013,Arkansas Marathon,US,17,286.01666
2012,Arkansas Marathon,US,15,257.53333
2011,Arkansas River Bluegrass Marathon,US,33,302.95908
2011,Around the Lake Marathon,US,246,277.07397
2012,Around the Lake Marathon,US,127,273.14673
2010,Around the Lake Marathon,US,122,280.56653
2009,Around the Lake Marathon,US,100,264.91766
2013,Around the Lake Marathon,US,89,288.26816
2008,Around the Lake Marathon,US,82,318.02115
2007,Around the Lake Marathon,US,80,316.08728
2006,Around the Lake Marathon,US,70,304.43192
2005,Around the Lake Marathon,US,52,300.87756
2003,Around the Lake Marathon,US,51,290.43628
2004,Around the Lake Marathon,US,51,288.23138
2002,Around the Lake Marathon,US,36,287.59351
2001,Around the Lake Marathon,US,29,329.96323
2009,Asbury Park Relay Marathon,US,114,265.29648
2010,Asbury Park Relay Marathon,US,87,263.16455
2011,Asbury Park Relay Marathon,US,64,259.36069
2013,Asheville City Marathon,US,403,271.28925
2013,Asheville Marathon,US,851,276.94205
2011,Aspen Backcountry Marathon,US,190,363.82043
2012,Aspen Backcountry Marathon,US,164,364.61972
2013,Aspen Backcountry Marathon,US,111,348.76022
2002,Aspen Trail Race,US,10,393.98166
2013,Aspen Valley Marathon,US,165,268.65585
2012,Aspen Valley Marathon,US,145,264.22357
2011,Aspen Valley Marathon,US,58,250.24626
2002,Assegaai Marathon,South Africa,93,233.94014
2013,Athens Big Fork Trail Marathon,US,67,417.27563
2012,Athens Big Fork Trail Marathon,US,64,399.9823
2011,Athens Big Fork Trail Marathon,US,51,375.18234
2010,Athens Big Fork Trail Marathon,US,43,404.96124
2009,Athens Big Fork Trail Marathon,US,35,400.22144
2008,Athens Big Fork Trail Marathon,US,28,404.53214
2008,Athens Marathon,US,213,248.87379
2013,Athens Marathon,US,197,246.13918
2011,Athens Marathon,US,196,246.46811
2009,Athens Marathon,US,190,241.76413
2012,Athens Marathon,US,189,249.90715
2010,Athens Marathon,US,172,253.67868
2007,Athens Marathon,US,164,247.00427
2002,Athens Marathon,US,157,264.20447
2003,Athens Marathon,US,145,257.29736
2006,Athens Marathon,US,135,246.36456
2004,Athens Marathon,US,116,245.59555
2005,Athens Marathon,US,116,257.53549
2001,Athens Marathon,US,76,270.18005
2010,Athens Marathon-Greece,Greece,10371,279.00894
2012,Athens Marathon-Greece,Greece,6470,272.19543
2011,Athens Marathon-Greece,Greece,6144,263.85715
2009,Athens Marathon-Greece,Greece,3855,263.06818
2011,Atlanta Marathon,US,1126,271.79605
2012,Atlanta Marathon,US,983,273.36334
2013,Atlanta Marathon,US,980,272.62448
2009,Atlanta Marathon,US,825,249.82637
2000,Atlanta Marathon,US,779,245.07343
2008,Atlanta Marathon,US,730,247.47713
2001,Atlanta Marathon,US,674,244.46152
2004,Atlanta Marathon,US,657,245.19008
2002,Atlanta Marathon,US,641,247.38583
2003,Atlanta Marathon,US,633,243.94672
2005,Atlanta Marathon,US,607,250.82735
2006,Atlanta Marathon,US,565,244.51334
2007,Atlanta Marathon,US,474,252.64716
2013,Atlantic City Marathon,US,825,270.73132
2011,Atlantic City Marathon,US,741,272.91074
2012,Atlantic City Marathon,US,693,264.7453
2010,Atlantic City Marathon,US,502,261.1532
2008,Atlantic City Marathon,US,247,264.98758
2007,Atlantic City Marathon,US,216,271.87469
2009,Atlantic City Marathon,US,151,251.36777
2001,Atlantic City Marathon,US,143,245.37097
2002,Atlantic City Marathon,US,128,257.94363
2003,Atlantic City Marathon,US,126,259.68451
2004,Atlantic City Marathon,US,96,250.58194
2006,Atlantic City Marathon,US,92,270.25598
2005,Atlantic City Marathon,US,53,253.88303
2005,Auburn Marathon,US,80,324.57001
2006,Auburn Marathon,US,72,324.12036
2012,Auckland Marathon,New Zealand,2692,261.83463
2013,Auckland Marathon,New Zealand,2603,259.09732
2011,Auckland Marathon,New Zealand,2309,263.0842
2010,Auckland Marathon,New Zealand,2048,250.5493
2009,Auckland Marathon,New Zealand,1858,255.0042
2008,Auckland Marathon,New Zealand,1154,248.01822
2006,Auckland Marathon,New Zealand,1048,249.12538
2007,Auckland Marathon,New Zealand,986,240.8031
2001,Auckland Marathon,New Zealand,719,248.75615
2005,Auckland Marathon,New Zealand,717,239.9053
2004,Auckland Marathon,New Zealand,684,236.14178
2002,Auckland Marathon,New Zealand,655,242.45346
2003,Auckland Marathon,New Zealand,644,246.70378
2003,Austin Marathon,US,5008,261.48874
2005,Austin Marathon,US,4961,272.47885
2004,Austin Marathon,US,4917,264.75665
2008,Austin Marathon,US,4835,269.13229
2011,Austin Marathon,US,4824,280.48822
2006,Austin Marathon,US,4789,261.08865
2007,Austin Marathon,US,4549,265.1947
2002,Austin Marathon,US,4436,258.80188
2009,Austin Marathon,US,4056,269.7666
2000,Austin Marathon,US,4052,249.51866
2010,Austin Marathon,US,4049,272.76883
2001,Austin Marathon,US,3940,257.09659
2012,Austin Marathon,US,3898,269.30991
2013,Austin Marathon,US,3548,273.95126
2012,Autumn Color Run,US,27,297.85742
2011,Autumn Color Run,US,18,279.69815
2006,Avalon Park Marathon,US,55,272.68152
2002,Avenue of the Giants Marathon,US,758,273.50787
2001,Avenue of the Giants Marathon,US,662,273.69284
2003,Avenue of the Giants Marathon,US,596,273.27924
2011,Avenue of the Giants Marathon,US,566,271.05161
2005,Avenue of the Giants Marathon,US,542,271.6864
2004,Avenue of the Giants Marathon,US,537,274.84698
2013,Avenue of the Giants Marathon,US,523,270.57895
2010,Avenue of the Giants Marathon,US,435,268.3671
2009,Avenue of the Giants Marathon,US,415,270.12009
2012,Avenue of the Giants Marathon,US,412,257.77744
2006,Avenue of the Giants Marathon,US,362,271.53754
2007,Avenue of the Giants Marathon,US,322,276.0871
2008,Avenue of the Giants Marathon,US,277,254.13658
2009,"Ayala Park Marathon & 3,6,12 Hour Races",US,9,296.97223
2012,B&A Trail Marathon,US,329,254.80577
2010,B&A Trail Marathon,US,266,257.61572
2009,B&A Trail Marathon,US,255,249.61621
2011,B&A Trail Marathon,US,253,256.75278
2004,B&A Trail Marathon,US,250,251.8322
2006,B&A Trail Marathon,US,246,251.46049
2008,B&A Trail Marathon,US,240,246.10423
2002,B&A Trail Marathon,US,221,247.5592
2005,B&A Trail Marathon,US,219,254.45547
2001,B&A Trail Marathon,US,215,247.58954
2013,B&A Trail Marathon,US,181,251.35745
2007,B&A Trail Marathon,US,147,243.14807
2001,Baltimore Marathon,US,4809,279.38199
2010,Baltimore Marathon,US,3365,265.358
2011,Baltimore Marathon,US,3206,273.55685
2009,Baltimore Marathon,US,3152,270.31992
2008,Baltimore Marathon,US,3133,270.43442
2013,Baltimore Marathon,US,3120,274.22269
2012,Baltimore Marathon,US,3020,265.94202
2007,Baltimore Marathon,US,2527,264.2785
2005,Baltimore Marathon,US,2410,274.70657
2004,Baltimore Marathon,US,2351,262.03879
2006,Baltimore Marathon,US,2149,262.22968
2002,Baltimore Marathon,US,2136,270.15851
2003,Baltimore Marathon,US,2007,263.18631
2001,Bank of America Marathon,US,1426,271.48138
2011,Barcelona Marathon,Spain,12468,233.29446
2010,Barcelona Marathon,Spain,10225,229.98929
2009,Barcelona Marathon,Spain,8229,230.60992
2008,Barcelona Marathon,Spain,7629,234.76553
2007,Barcelona Marathon,Spain,6166,234.60149
2013,Bass Pro Shops Marathon,US,508,275.91901
2012,Bass Pro Shops Marathon,US,432,274.14413
2009,Bass Pro Shops Marathon,US,318,275.21866
2008,Bass Pro Shops Marathon,US,312,280.16534
2010,Bass Pro Shops Marathon,US,294,281.08231
2011,Bass Pro Shops Marathon,US,274,271.44009
2007,Bass Pro Shops Marathon,US,256,262.66959
2013,Bataan Memorial Death March Marathon,US,2842,488.24661
2008,Bataan Memorial Death March Marathon,US,2070,471.01465
2007,Bataan Memorial Death March Marathon,US,1996,460.0491
2012,Bataan Memorial Death March Marathon,US,1856,465.71719
2006,Bataan Memorial Death March Marathon,US,1792,461.44882
2002,Bataan Memorial Death March Marathon,US,1789,477.03751
2011,Bataan Memorial Death March Marathon,US,1758,446.56906
2005,Bataan Memorial Death March Marathon,US,1650,449.65042
2009,Bataan Memorial Death March Marathon,US,1602,453.50888
2010,Bataan Memorial Death March Marathon,US,1489,443.80933
2004,Bataan Memorial Death March Marathon,US,1386,453.43103
2001,Bataan Memorial Death March Marathon,US,1151,456.53149
2011,Baton Rouge Beach Marathon,US,301,273.54312
2012,Baton Rouge Beach Marathon,US,293,274.5889
2010,Baton Rouge Beach Marathon,US,234,273.71246
2009,Baton Rouge Beach Marathon,US,199,254.7572
2013,Baton Rouge Beach Marathon,US,168,261.4249
2008,Baton Rouge Beach Marathon,US,167,254.38953
2004,Baton Rouge Beach Marathon,US,158,250.83755
2006,Baton Rouge Beach Marathon,US,150,264.55646
2007,Baton Rouge Beach Marathon,US,150,262.72787
2003,Baton Rouge Beach Marathon,US,120,258.78876
2001,Baton Rouge Beach Marathon,US,116,252.59972
2002,Baton Rouge Beach Marathon,US,111,257.60977
2005,Baton Rouge Beach Marathon,US,92,269.37735
2013,Bay of Fundy International Marathon,US,448,282.45819
2009,Bay State Marathon,US,1566,233.94943
2010,Bay State Marathon,US,1566,233.81218
2013,Bay State Marathon,US,1297,240.1071
2008,Bay State Marathon,US,1195,230.94226
2012,Bay State Marathon,US,1148,239.07819
2011,Bay State Marathon,US,979,243.37732
2000,Bay State Marathon,US,751,227.81471
2001,Bay State Marathon,US,740,237.87622
2007,Bay State Marathon,US,716,232.34802
2006,Bay State Marathon,US,677,234.18877
2002,Bay State Marathon,US,609,222.71892
2005,Bay State Marathon,US,544,234.39853
2004,Bay State Marathon,US,499,233.41794
2003,Bay State Marathon,US,482,228.58936
2013,Bayshore Marathon,US,1948,250.73897
2012,Bayshore Marathon,US,1793,254.60066
2010,Bayshore Marathon,US,1501,252.72018
2011,Bayshore Marathon,US,1464,251.0601
2009,Bayshore Marathon,US,1385,248.4198
2007,Bayshore Marathon,US,1294,248.07048
2008,Bayshore Marathon,US,1263,247.46568
2004,Bayshore Marathon,US,995,247.25175
2006,Bayshore Marathon,US,858,249.58174
2003,Bayshore Marathon,US,852,242.40894
2005,Bayshore Marathon,US,750,249.32475
2002,Bayshore Marathon,US,740,244.06293
2001,Bayshore Marathon,US,530,240.03752
2000,Bayshore Marathon,US,402,231.2272
2013,Bear Brook Trail Marathon,US,168,355.67599
2012,Bear Lake Idaho Marathon,US,196,320.81564
2011,Bear Lake Idaho Marathon,US,78,300.28781
2010,Bear Lake Idaho Marathon,US,73,306.63104
2013,Bear Lake Idaho Marathon,US,51,307.63071
2009,Bear Lake Idaho Marathon,US,32,316.29791
2010,Bear Lake Marathon,US,218,302.91498
2013,Bear Lake Marathon,US,156,311.06711
2011,Bear Lake Marathon,US,119,307.28461
2012,Bear Lake Marathon,US,119,305.08487
2008,Bear Lake Marathon,US,92,285.46124
2009,Bear Lake Marathon,US,92,288.25815
2012,Bearfest,US,18,260.45093
2013,Bearfest,US,15,331.77222
2011,Bearfest,US,13,288.8064
2009,Beaver Island Marathon,US,81,270.6395
2011,Beaver Island Marathon,US,59,260.66891
2010,Beaver Island Marathon,US,48,269.36804
2012,Beijing Marathon,China,6167,271.68729
2012,Belfast City Marathon,Ireland,2918,256.43179
2011,Belfast City Marathon,Ireland,2822,264.55432
2010,Belfast City Marathon,Ireland,2584,259.67496
2013,Belfast City Marathon,Ireland,2458,266.08249
2009,Belfast City Marathon,Ireland,2026,256.07281
2008,Belfast City Marathon,Ireland,1466,252.76019
2007,Belfast City Marathon,Ireland,1431,255.47655
2005,Belfast City Marathon,Ireland,1418,267.00687
2006,Belfast City Marathon,Ireland,1342,248.92485
2004,Belfast City Marathon,Ireland,1176,247.79834
2002,Belfast City Marathon,Ireland,1074,245.53165
2001,Belfast City Marathon,Ireland,825,253.98889
2011,Bellevue Ghost Marathon,US,32,291.65314
2012,Bellevue Ghost Marathon,US,20,331.10001
2011,Bellingham Bay Marathon,US,443,269.78745
2012,Bellingham Bay Marathon,US,425,259.38672
2010,Bellingham Bay Marathon,US,401,268.23471
2013,Bellingham Bay Marathon,US,373,264.05399
2010,"Bellingham Bay Marathon, Half Marathon & 10k",US,401,268.23471
2007,"Bellingham Bay Marathon, Half Marathon & 10k",US,379,274.74191
2008,"Bellingham Bay Marathon, Half Marathon & 10k",US,269,272.1886
2009,"Bellingham Bay Marathon, Half Marathon & 10k",US,258,255.34218
2013,Bemidji Blue Ox Marathon,US,184,248.25626
2011,Bend Marathon,US,79,284.28036
2002,Bendistillery 'It Goes Down Easy' Marathon,US,181,246.7466
2001,Bendistillery 'It Goes Down Easy' Marathon,US,152,256.81644
2013,Berlin Marathon,Germany,36543,245.31268
2008,Berlin Marathon,Germany,35731,247.01682
2009,Berlin Marathon,Germany,35015,252.83322
2012,Berlin Marathon,Germany,34375,246.49503
2010,Berlin Marathon,Germany,34001,245.77859
2011,Berlin Marathon,Germany,32915,249.9599
2007,Berlin Marathon,Germany,32486,246.92137
2003,Berlin Marathon,Germany,30709,245.49808
2005,Berlin Marathon,Germany,30377,249.15282
2006,Berlin Marathon,Germany,30182,256.20053
2004,Berlin Marathon,Germany,28022,243.34232
2001,Berlin Marathon,Germany,25792,240.68571
2002,Berlin Marathon,Germany,25286,240.97987
2000,Berlin Marathon,Germany,22879,247.51047
1998,Berlin Marathon,Germany,20976,237.64034
1999,Berlin Marathon,Germany,19128,235.21558
1996,Berlin Marathon,Germany,15931,221.11571
1997,Berlin Marathon,Germany,14982,229.21825
1993,Berlin Marathon,Germany,14102,223.00864
1985,Berlin Marathon,Germany,9806,212.33533
1984,Berlin Marathon,Germany,7293,212.55286
1983,Berlin Marathon,Germany,4840,219.67683
1982,Berlin Marathon,Germany,3447,231.22363
1981,Berlin Marathon,Germany,2546,226.2796
1976,Berlin Marathon,Germany,311,219.6313
1974,Berlin Marathon,Germany,244,250.87875
1975,Berlin Marathon,Germany,233,245.59399
1977,Berlin Marathon,Germany,228,206.381
1979,Berlin Marathon,Germany,222,209.73882
2004,Bermuda Marathon,Bermuda,379,325.90305
2002,Bermuda Marathon,Bermuda,352,333.89786
2003,Bermuda Marathon,Bermuda,214,320.72998
2005,Bermuda Marathon,Bermuda,179,323.83435
2010,Bermuda Marathon,Canada,200,263.34299
2013,Bermuda Marathon,Canada,142,259.82605
2011,Bermuda Marathon,Canada,115,268.69086
2012,Bermuda Marathon,Canada,110,261.10818
2006,Bermuda Marathon,Canada,81,263.12387
2008,Bermuda Marathon,Canada,79,268.17447
2009,Bermuda Marathon,Canada,76,264.1011
2007,Bermuda Marathon,Canada,51,223.65262
2010,Berryman Marathon,US,154,349.23593
2008,Berryman Marathon,US,109,358.43164
2006,Berryman Marathon,US,87,362.73831
2007,Berryman Marathon,US,84,357.11288
2011,Berryman Marathon,US,76,357.03268
2009,Berryman Marathon,US,67,358.2301
2013,Berryman Marathon,US,64,363.78986
2012,Berryman Marathon,US,57,357.68304
2002,Big Basin Redwoods Trail Marathon,US,38,261.27194
2003,Big Basin Redwoods Trail Marathon,US,26,266.59744
2008,Big Bear Marathon,US,267,292.74899
2009,Big Bear Marathon,US,197,289.29407
2013,Big Cottonwood Marathon & Half,US,1293,252.9809
2012,Big Cottonwood Marathon & Half,US,273,254.38443
2013,Big Elk Marathon,US,50,331.49866
2010,Big Island International Marathon,US,390,272.53949
2008,Big Island International Marathon,US,231,272.15793
2012,Big Island International Marathon,US,227,286.17877
2007,Big Island International Marathon,US,208,276.53076
2013,Big Island International Marathon,US,205,285.97318
2009,Big Island International Marathon,US,192,278.47345
2004,Big Island International Marathon,US,191,275.69608
2011,Big Island International Marathon,US,180,282.78409
2005,Big Island International Marathon,US,151,275.63974
2006,Big Island International Marathon,US,147,280.32153
2003,Big Island International Marathon,US,107,262.10684
2002,Big Island International Marathon,US,45,266.84927
2010,Big Sur Marathon,US,3452,276.10156
2012,Big Sur Marathon,US,3387,275.23746
2011,Big Sur Marathon,US,3246,272.92993
2007,Big Sur Marathon,US,3156,265.98956
2009,Big Sur Marathon,US,3084,274.11761
2006,Big Sur Marathon,US,2963,269.117
2005,Big Sur Marathon,US,2877,264.20688
2004,Big Sur Marathon,US,2863,263.94019
2003,Big Sur Marathon,US,2580,262.55655
2002,Big Sur Marathon,US,2517,267.53787
2008,Big Sur Marathon,US,2435,260.38388
2001,Big Sur Marathon,US,2403,265.20407
2000,Big Sur Marathon,US,2392,260.93994
2013,Big Sur Marathon,US,1654,239.17668
2012,Big Sur Trail Marathon,US,93,306.80359
2002,Big Sur Trail Marathon,US,78,320.64316
2013,Big Sur Trail Marathon,US,78,321.27499
2003,Big Sur Trail Marathon,US,77,300.41147
2007,Big Sur Trail Marathon,US,74,306.16824
2011,Big Sur Trail Marathon,US,68,310.41177
2008,Big Sur Trail Marathon,US,66,305.2995
2009,Big Sur Trail Marathon,US,64,321.19324
2005,Big Sur Trail Marathon,US,53,293.24527
2004,Big Sur Trail Marathon,US,50,313.35934
2006,Big Sur Trail Marathon,US,43,303.80814
2010,Big Sur Trail Marathon,US,33,323.1106
2013,Big Wild Life Runs Marathon,US,381,265.31943
2012,Big Wild Life Runs Marathon,US,330,265.54843
2011,Big Wild Life Runs Marathon,US,314,261.9985
2011,Big-D Texas Marathon,US,699,301.56726
2012,Big-D Texas Marathon,US,689,277.78278
2004,Big-D Texas Marathon,US,600,284.91205
2010,Big-D Texas Marathon,US,598,281.68866
2008,Big-D Texas Marathon,US,501,282.29312
2009,Big-D Texas Marathon,US,486,274.23792
2006,Big-D Texas Marathon,US,450,295.83374
2007,Big-D Texas Marathon,US,422,284.86542
2005,Big-D Texas Marathon,US,420,274.17407
2013,Big-D Texas Marathon,US,318,264.01791
2010,Bigfoot Snowshoe Festival,US,10,435.34668
2009,Bigfoot Snowshoe Festival,US,3,475.03333
2012,Birch Bay Marathon,US,117,269.8869
2013,Birch Bay Marathon,US,97,267.91547
2011,Birch Bay Marathon,US,95,255.53018
2010,Birch Bay Marathon,US,93,249.83083
2008,Birch Bay Marathon,US,69,244.93382
2009,Birch Bay Marathon,US,69,244.87633
2007,Birch Bay Marathon,US,53,237.98459
2006,Birch Bay Marathon,US,44,231.16478
2005,Birch Bay Marathon,US,32,221.49687
2003,Birch Bay Marathon,US,28,240.7375
2004,Birch Bay Marathon,US,20,257.10751
2001,Bismarck Marathon,US,200,246.43375
2010,Bismarck Marathon,US,199,257.80453
2009,Bismarck Marathon,US,169,261.92307
2011,Bismarck Marathon,US,169,258.01175
2004,Bismarck Marathon,US,161,255.05403
2012,Bismarck Marathon,US,158,273.4075
2008,Bismarck Marathon,US,145,261.89264
2007,Bismarck Marathon,US,127,257.06168
2013,Bismarck Marathon,US,123,265.85556
2003,Bismarck Marathon,US,104,257.55609
2005,Bismarck Marathon,US,80,263.68811
2006,Bismarck Marathon,US,80,247.60437
2007,Bizz Johnson Trail Marathon,US,521,272.48712
2005,Bizz Johnson Trail Marathon,US,471,272.685
2008,Bizz Johnson Trail Marathon,US,442,269.88925
2009,Bizz Johnson Trail Marathon,US,360,272.22034
2006,Bizz Johnson Trail Marathon,US,353,270.76813
2004,Bizz Johnson Trail Marathon,US,268,270.02097
2010,Bizz Johnson Trail Marathon,US,213,270.41776
2012,Bizz Johnson Trail Marathon,US,198,284.01355
2011,Bizz Johnson Trail Marathon,US,142,278.70773
2013,Bizz Johnson Trail Marathon,US,131,264.01248
2013,Black Mountain Marathon,US,203,334.89984
2011,Black Mountain Marathon,US,179,305.45233
2009,Black Mountain Marathon,US,178,337.38528
2012,Black Mountain Marathon,US,168,314.79663
2008,Black Mountain Marathon,US,139,316.52939
2010,Black Mountain Marathon,US,124,302.74744
2006,Black Mountain Marathon,US,121,310.67398
2007,Black Mountain Marathon,US,116,321.15488
2005,Black Mountain Marathon,US,109,297.62692
2002,Black Mountain Marathon,US,94,285.02606
2004,Black Mountain Marathon,US,88,304.28107
2001,Black Mountain Marathon,US,78,281.23419
2003,Black Mountain Marathon,US,70,307.31882
2001,Blackhorse Marathon,US,77,284.97986
2004,Blackhorse Marathon,US,75,287.7511
2000,Blackhorse Marathon,US,70,268.73999
2002,Blackhorse Marathon,US,36,293.38934
2005,Blackpool Marathon,England,806,260.04935
2004,Blackpool Marathon,England,537,241.76089
2003,Blackpool Marathon,England,450,259.37885
2013,Blackpool Marathon,New Zealand,1237,256.22955
2009,Blackpool Marathon,New Zealand,632,244.11255
2006,Blackpool Marathon,New Zealand,627,246.02478
2010,Blackpool Marathon,New Zealand,621,246.26581
2008,Blackpool Marathon,New Zealand,488,226.47424
2007,Blackpool Marathon,New Zealand,439,248.41777
